,Producto,Precio
478,Vino tinto   carlo rossi,357.45
479,Vino blanco   marques riscal,193.45
480,Vino blanco zinfandel e j,123.85
481,Vino blanco casa morena  ,91.18
482,Vino tinto g8 semi seco tempranillo -,89.9
483,Vino tinto reserva lealtanza rioja  ,416.19
484,Vino tinto ed limitada   ramon bilbao,303.8
485,Vino tinto melipal  malbec  ,312.83
486,Vino blanco carlo   rossi,192.75
487,Vino blanco chauvenet french botella l.a. cetto,216.29
488,Vino tinto trapiche broquel malbec malbec  ,321.95
489,Vino tinto finca la florencia malbec  familia cassone  ,245.2
490,Vino tinto postales malbec   -,199.5
491,Vino tinto varietal carmene   santa helena,114.15
492,Vino  tinto cabernet sauvignon gran tarapaca,185.2
493,Vino tinto carmenere   gran tarapaca,185.2
494,Vino tinto obra prima reserva f cassone malbec  ,437.1
495,Vino tinto crianza lealtanza rioja  ,257.43
496,Vino tinto gato ngo   tres castillos,115.5
497,Vino tinto tempranillo casa morena,91.18
498,Vino tinto malbec luigi bosca  ,407.3
499,Vino tinto merlot vignobles saynt-georges,171.65
500,Vino tinto atrium merlot torres,271.5
501,Vino tinto crianza   lan,279.13
502,Vino tinto cabernet vignobles saynt-georges,171.65
503,Vino tinto tempranillo finca la linda,219.65
504,Vino blanco  moscato   barefoot,152.9
505,Vino blanco semi dulce diamante,160.0
506,Vino blanco gran vid -,134.71
507,Vino tinto black cabernet-cabernet las moras,348.85
508,Vino tinto reserva cabernet sauvignon    ,339.15
509,Vino tinto merlot l.a. cetto,117.55
510,Vino tinto nero d'avola    ,175.8
511,Vino blanco chardonay e j,123.85
512,Vino tinto sirocco syrah rsva santo tomas  ,564.94
513,Vino tinto   leon de tarapaca,142.15
514,Vino tinto red diamond pinot noir -,248.38
515,Vino blanco chardonnay reserva   luigi bosca,407.3
516,Vino tinto cab sauvignon finca la celia reserva  ,341.3
517,Vino tinto postales malbec syrah fin del mundo  ,199.51
518,Vino tinto gran vid -,101.25
519,Vino tinto  cabernet sauvignon   santa ana,106.9
520,Vino blanco chenin blanc l.a. cetto,111.67
521,Vino tinto cabernet sauvignon l.a. cetto,117.55
522,Vino tinto bonarda   santa ana,106.9
523,Vino tinto cavernet sauvignon reserva   santa rita,250.01
524,Vino tinto fin del mundo reserva cabernen sauv  ,386.15
525,Vino tinto leon syrah   tarapaca,142.15
526,Vino tinto solera 6 aos santo tomas,161.98
527,Vino tinto merlot reserva   cono sur,288.8
528,Vino tinto merlot   barefoot,152.9
529,Vino tinto sarmientos de tarapaca   costco,113.05
530,Vino tinto chauvenet botella valle de guadal,66.79
531,Vino tinto cabernet sauvignon reserva   luigi bosca,407.3
532,Vino blanco sarmientos suavignon tarapaca,113.05
533,Vino tinto cono sur carmenere    ,181.9
534,Vino tinto reserva malbec   las moras,212.1
535,Vino tinto san jose de apalta cabernet sauvignon reserv -,165.0
536,Vino tinto  malbec   santa ana,106.9
537,Vino tinto cabernet homage opi   santa ana,169.9
538,Vino tinto shiraz-malbec callia alta    ,162.75
539,Vino tinto reserva   las moras,212.1
540,Vino tinto postales cabernet malbec fin del mundo  ,199.51
541,Vino tinto hetaira syrah -,215.89
